t,x,y,vd,xyd,nd,d,st
46,924.066,1128.93,0.211005,0.211005,6,6.02831,0
46,924.278,1128.94,0.212276,0.212275,6,6.02683,0
47,924.492,1128.94,0.213416,0.213416,6,6.02476,0
47,924.706,1128.94,0.214557,0.214557,6,6.02256,0
47,924.922,1128.95,0.215698,0.215698,6,6.02022,0
48,925.138,1128.95,0.216829,0.216829,6,6.01789,0
48,925.356,1128.96,0.217953,0.217953,6,6.01548,0
48,925.575,1128.96,0.219077,0.219077,6,6.01293,0
49,925.795,1128.97,0.220073,0.220073,6,6.00929,0
49,926.016,1128.97,0.221181,0.221181,6,6.00566,0
49,926.238,1128.98,0.222289,0.222289,6,6.00188,0
50,926.46,1128.98,0.223142,0.223142,6,5.9974,0
50,926.684,1128.99,0.224235,0.224235,6,5.99313,0
50,926.909,1129,0.225328,0.225328,6,5.98871,0
51,926.399,1128.98,0.208757,0.208756,6,5.9985,0
51,926.609,1128.99,0.209915,0.209916,6,5.99477,0
51,926.82,1128.99,0.211081,0.211081,6,5.99038,0
52,927.039,1129,0.219387,0.219387,6,5.98617,0
52,927.259,1129.01,0.220499,0.220499,6,5.98169,0
52,927.481,1129.01,0.22161,0.22161,6,5.97705,0
53,927.704,1129.02,0.223407,0.223407,6,5.97332,0
53,927.929,1129.02,0.224498,0.224498,6,5.96925,0
53,928.154,1129.03,0.22559,0.22559,6,5.965,0
54,928.381,1129.04,0.22736,0.22736,6,5.9608,0
54,928.61,1129.04,0.228432,0.228432,6,5.95639,0
54,928.839,1129.05,0.229505,0.229504,6,5.95179,0
55,929.07,1129.06,0.231223,0.231223,6,5.94807,0
55,929.302,1129.06,0.232277,0.232277,6,5.34095,0
55,929.536,1129.07,0.23333,0.23333,6,5.36007,0
56,929.771,1129.07,0.235512,0.235512,6,5.37974,0
56,930.008,1129.08,0.236539,0.236539,6,5.39904,0
56,930.245,1129.09,0.237565,0.237565,6,5.41822,0
57,930.484,1129.09,0.238592,0.238592,6,5.43726,0
57,930.723,1129.1,0.239928,0.239927,6,5.45618,0
57,930.964,1129.11,0.240938,0.240938,6,5.47462,0
58,931.206,1129.12,0.241948,0.241948,6,5.49292,0
58,931.449,1129.13,0.243365,0.243365,6,5.51131,0
58,931.693,1129.13,0.244358,0.244358,6,5.52913,0
59,931.938,1129.14,0.245352,0.245351,6,5.5468,0
59,932.185,1129.15,0.246899,0.246899,6,5.56457,0
59,932.433,1129.16,0.24787,0.24787,6,5.58176,0
60,932.682,1129.17,0.248841,0.248841,6,5.59881,0
60,932.931,1129.18,0.249812,0.249812,6,5.61571,0
60,933.182,1129.19,0.251021,0.251021,6,5.63149,0
61,933.434,1129.21,0.251977,0.251977,6,5.64735,0
61,933.686,1129.22,0.252932,0.252932,6,5.66307,0
61,933.94,1129.23,0.254051,0.254051,6,5.67844,0
62,934.195,1129.24,0.254996,0.254996,6,5.69386,0
62,934.45,1129.26,0.256028,0.256028,6,5.70783,0
62,934.707,1129.27,0.256954,0.256954,6,5.72215,0
63,934.965,1129.28,0.25788,0.25788,6,5.73635,0
63,935.223,1129.3,0.258807,0.258807,6,5.75041,0
63,935.482,1129.31,0.259725,0.259725,6,5.76469,0
